id,Title,Link,symptom1,symptom2,cause
153381,Set GPU Clock Speed To Maximum,https://forums.developer.nvidia.com/t/set-gpu-clock-speed-to-maximum/153381 ,K.T.-Long Execution Time for Kernel Function,,Others
290808,Using Thrust to operate with vectors,https://forums.developer.nvidia.com/t/using-thrust-to-operate-with-vectors/290808 ,K.T.-Long Execution Time for Code Blocks,,Algorithm-Inefficient Algorithms Selection
201840-0,Porting a complex polynomial root solver to CUDA - optimizing kernel performance,https://forums.developer.nvidia.com/t/porting-a-complex-polynomial-root-solver-to-cuda-optimizing-kernel-performance/201840 ,K.T.-Long Execution Time for Kernel Function,,Warp-Imbalanced Thread Workload
201840-1,Porting a complex polynomial root solver to CUDA - optimizing kernel performance,https://forums.developer.nvidia.com/t/porting-a-complex-polynomial-root-solver-to-cuda-optimizing-kernel-performance/201840 ,K.T.-Long Execution Time for Kernel Function,,Memory-Uncoalesced Memory Accesses
201840-2,Porting a complex polynomial root solver to CUDA - optimizing kernel performance,https://forums.developer.nvidia.com/t/porting-a-complex-polynomial-root-solver-to-cuda-optimizing-kernel-performance/201840 ,K.T.-Long Execution Time for Kernel Function,,Data-Incompatible Data Types
288805,Fast Implementation of (Small-)Table Lookup,https://forums.developer.nvidia.com/t/fast-implementation-of-small-table-lookup/288805 ,K.T.-Long Execution Time for Code Blocks,,MemoryImcompatible Memory Type and Access Pattern
182477,Transfer a one-dimensional array saved by rows-major from global memory to shared memory,https://forums.developer.nvidia.com/t/transfer-a-one-dimensional-array-saved-by-rows-major-from-global-memory-to-shared-memory/182477 ,K.T.-Long Execution Time for Code Blocks,,Warp-Branch Divergence
141664,Massive performance decrease in cuSPARSE spMM from v10.1 to v10.2,https://forums.developer.nvidia.com/t/massive-performance-decrease-in-cusparse-spmm-from-v10-1-to-v10-2/141664 ,K.T.-Long Execution Time for Kernel Function,,CUDA Toolkits-Buggy CUDA Toolkits
232763,Can anyone give some advice to optimize my kernel?,https://forums.developer.nvidia.com/t/can-anyone-give-some-advice-to-optimize-my-kernel/232763 ,K.T.-Long Execution Time for Kernel Function,,Memory-Uncoalesced Memory Accesses
111142,10x slowdowns on simple CUDA kernels when upgraded to 2060 RTX,https://forums.developer.nvidia.com/t/10x-slowdowns-on-simple-cuda-kernels-when-upgraded-to-2060-rtx/111142 ,K.T.-Long Execution Time for Kernel Function,,CUDA Toolkits-Buggy CUDA Toolkits
253670,Performance penalty due to warp divergence,https://forums.developer.nvidia.com/t/performance-penalty-due-to-warp-divergence/253670 ,K.T.-Long Execution Time for Code Blocks,,Compilation-Debugging Mode Used
283152,Performance of diagonal access to distributed shared memory,https://forums.developer.nvidia.com/t/performance-of-diagonal-access-to-distributed-shared-memory/283152 ,K.T.-Long Execution Time for Code Blocks,,Memory-Uncoalesced Memory Accesses
191091,Transpose bitwise x:y matrix (x!=y),https://forums.developer.nvidia.com/t/transpose-bitwise-x-y-matrix-x-y/191091 ,K.T.-Long Execution Time for Code Blocks,,Algorithm-Inefficient Algorithms Selection
259333,Intermediate multiplications downgrades warp shuffling performance,https://forums.developer.nvidia.com/t/intermediate-multiplications-downgrades-warp-shuffling-performance/259333 ,K.T.-Long Execution Time for Code Blocks,,Data-Incompatible Data Types
128810,cuBLAS or cuSolve strategy to invert many tiny matrices (>1 million 9x9 matrices),https://forums.developer.nvidia.com/t/cublas-or-cusolve-strategy-to-invert-many-tiny-matrices-1-million-9x9-matrices/128810 ,K.T.-Long Execution Time for Kernel Function,,API-Inefficient API Usage
109859,Why it becomes even slower when using shared memory?,https://forums.developer.nvidia.com/t/why-it-becomes-even-slower-when-using-shared-memory/109859 ,K.T.-Long Execution Time for Kernel Function,,Compilation-Debugging Mode Used
245621,Very long kernels resulting in unoptimized compilation,https://forums.developer.nvidia.com/t/very-long-kernels-resulting-in-unoptimized-compilation/245621 ,K.T.-Long Execution Time for Code Blocks,,Compilation-Suboptimal Compiler Parameters
157040,Implementation of critical section for addition,https://forums.developer.nvidia.com/t/implementation-of-critical-section-for-addition/157040 ,K.T.-Long Execution Time for Code Blocks,,API-Efficient APIs Not Used
190002,OpenCV Cuda DFT extremely slow,https://forums.developer.nvidia.com/t/opencv-cuda-dft-extremely-slow/190002 ,K.T.-Long Execution Time for Kernel Function,,CUDA Toolkits-Buggy CUDA Toolkits
111963,Seemingly insignificant changes result in a 100x kernel slowdown,https://forums.developer.nvidia.com/t/seemingly-insignificant-changes-result-in-a-100x-kernel-slowdown/111963 ,K.T.-Long Execution Time for Kernel Function,,Data-Incompatible Data Types
157037,Kernel for pixel format conversions,https://forums.developer.nvidia.com/t/kernel-for-pixel-format-conversions/157037 ,K.T.-Long Execution Time for Kernel Function,,API-Efficient APIs Not Used
263644,"Profilometry, performance, and number of threads on the Jetson",https://forums.developer.nvidia.com/t/profilometry-performance-and-number-of-threads-on-the-jetson/263644 ,K.T.-Long Execution Time for Kernel Function,,Memory-Uncoalesced Memory Accesses
261299-0,Why does the persistent thread approach reduce kernel performance,https://forums.developer.nvidia.com/t/why-does-the-persistent-thread-approach-reduce-kernel-performance/261299 ,K.T.-Long Execution Time for Code Blocks,,Memory-Uncoalesced Memory Accesses
261299-1,Why does the persistent thread approach reduce kernel performance,https://forums.developer.nvidia.com/t/why-does-the-persistent-thread-approach-reduce-kernel-performance/261299 ,K.T.-Long Execution Time for Code Blocks,,API-Efficient APIs Not Used
222801,Why is my kernel using (stack frame) Local Memory instead of just using Registers?,https://forums.developer.nvidia.com/t/why-is-my-kernel-using-stack-frame-local-memory-instead-of-just-using-registers/222801 ,K.T.-Long Execution Time for Code Blocks,,MemoryImcompatible Memory Type and Access Pattern
209183,Is it possible to replace integer division by floating-point division for speed,https://forums.developer.nvidia.com/t/is-it-possible-to-replace-integer-division-by-floating-point-division-for-speed/209183 ,K.T.-Long Execution Time for Code Blocks,,Data-Incompatible Data Types
198642-0,Integer square root,https://forums.developer.nvidia.com/t/integer-square-root/198642 ,K.T.-Long Execution Time for Code Blocks,,Data-Incompatible Data Types
198642-1,Integer square root,https://forums.developer.nvidia.com/t/integer-square-root/198642 ,K.T.-Long Execution Time for Code Blocks,,Algorithm-Hardware-Unaware Algorithm Implementation
284443,How to tell nvcc that some `if` must diverge and stop trying to fuse previous statements into it?,https://forums.developer.nvidia.com/t/how-to-tell-nvcc-that-some-if-must-diverge-and-stop-trying-to-fuse-previous-statements-into-it/284443 ,K.T.-Long Execution Time for Code Blocks,,CUDA Toolkits-Buggy CUDA Toolkits
157840,Large allocations with cudaMallocManaged slow down synchronization,https://forums.developer.nvidia.com/t/large-allocations-with-cudamallocmanaged-slow-down-synchronization/157840 ,D.T.-Long CPU-GPU Data Transfer Time,,API-Inefficient API Usage
269255-0,Converting a kernel from floats and ints to halfs is 6x slower,https://forums.developer.nvidia.com/t/converting-a-kernel-from-floats-and-ints-to-halfs-is-6x-slower/269255 ,K.T.-Long Execution Time for Code Blocks,,Memory-Uncoalesced Memory Accesses
269255-1,Converting a kernel from floats and ints to halfs is 6x slower,https://forums.developer.nvidia.com/t/converting-a-kernel-from-floats-and-ints-to-halfs-is-6x-slower/269255 ,K.T.-Long Execution Time for Code Blocks,,Data-Incompatible Data Types
269255-2,Converting a kernel from floats and ints to halfs is 6x slower,https://forums.developer.nvidia.com/t/converting-a-kernel-from-floats-and-ints-to-halfs-is-6x-slower/269255 ,K.T.-Long Execution Time for Code Blocks,,Compilation-Debugging Mode Used
183444-0,Fast matrix 3x3 inversion etc,https://forums.developer.nvidia.com/t/fast-matrix-3x3-inversion-etc/183444 ,K.T.-Long Execution Time for Kernel Function,,API-Efficient APIs Not Used
183444-1,Fast matrix 3x3 inversion etc,https://forums.developer.nvidia.com/t/fast-matrix-3x3-inversion-etc/183444 ,K.T.-Long Execution Time for Kernel Function,,Algorithm-Inefficient Algorithms Selection
199790,Cupy and loops,https://forums.developer.nvidia.com/t/cupy-and-loops/199790 ,K.T.-Long Execution Time for Kernel Function,,Algorithm-Hardware-Unaware Algorithm Implementation
213206,Concurrent memcpy Performance RTX A2000 vs. Tesla T4,https://forums.developer.nvidia.com/t/concurrent-memcpy-performance-rtx-a2000-vs-tesla-t4/213206 ,D.T.-Long CPU-GPU Data Transfer Time,,Compilation-Unable to Perform Automatic Inlining Optimization
161162-0,Thrust::minmax_element slower than host implementation with OpenCV,https://forums.developer.nvidia.com/t/thrust-minmax-element-slower-than-host-implementation-with-opencv/161162 ,K.T.-Long Execution Time for Kernel Function,,Data-Inefficient Data Transfer
161162-1,Thrust::minmax_element slower than host implementation with OpenCV,https://forums.developer.nvidia.com/t/thrust-minmax-element-slower-than-host-implementation-with-opencv/161162 ,K.T.-Long Execution Time for Kernel Function,,API-Inefficient API Usage
176318,Kernel with a for-loop over matrix columns results in worse bandwidth for longer ranges?,https://forums.developer.nvidia.com/t/kernel-with-a-for-loop-over-matrix-columns-results-in-worse-bandwidth-for-longer-ranges/176318 ,K.T.-Long Execution Time for Kernel Function,,Memory-Uncoalesced Memory Accesses
170259,Does cudaLaunchHostFunc block work added to all streams?,https://forums.developer.nvidia.com/t/does-cudalaunchhostfunc-block-work-added-to-all-streams/170259 ,K.T.-Long Kernel Launch Time,,Compilation-Unable to Perform Automatic Inlining Optimization
185152,Thrust::copy_if on multiple range,https://forums.developer.nvidia.com/t/thrust-copy-if-on-multiple-range/185152 ,K.T.-Long Execution Time for Kernel Function,,API-Inefficient API Usage
279549,Can I 'swap' memory between __shared__ and __global__ (or __global__ and __global__) arrays?,https://forums.developer.nvidia.com/t/can-i-swap-memory-between-shared-and-global-or-global-and-global-arrays/279549 ,K.T.-Long Execution Time for Code Blocks,,Warp-Redundant Warp Synchronization
268267,Is there a block equivalent to cub::DeviceSegmentedReduce,https://forums.developer.nvidia.com/t/is-there-a-block-equivalent-to-cub-devicesegmentedreduce/268267 ,K.T.-Long Execution Time for Kernel Function,,API-Inefficient API Usage
175885,Proper Shared Memory Usage for 3D Median Filtering,https://forums.developer.nvidia.com/t/proper-shared-memory-usage-for-3d-median-filtering/175885 ,K.T.-Long Execution Time for Kernel Function,,Warp-Imbalanced Thread Workload
205631,Performance varies greatly with different nvcc compilers,https://forums.developer.nvidia.com/t/performance-varies-greatly-with-different-nvcc-compilers/205631 ,K.T.-Long Execution Time for Kernel Function,,CUDA Toolkits-Buggy CUDA Toolkits
261518,Faster method of shifting texture data,https://forums.developer.nvidia.com/t/faster-method-of-shifting-texture-data/261518 ,K.T.-Long Execution Time for Kernel Function,,Memory-Uncoalesced Memory Accesses
166026,Interchangeability of block X and Y configuration on launch,https://forums.developer.nvidia.com/t/interchangeability-of-block-x-and-y-configuration-on-launch/166026 ,K.T.-Long Execution Time for Kernel Function,,Memory-Uncoalesced Memory Accesses
202516-0,Significant speedup of OpenCL vs CUDA,https://forums.developer.nvidia.com/t/significant-speedup-of-opencl-vs-cuda/202516 ,K.T.-Long Execution Time for Kernel Function,,Warp-Inefficient Loop Unrolling
202516-1,Significant speedup of OpenCL vs CUDA,https://forums.developer.nvidia.com/t/significant-speedup-of-opencl-vs-cuda/202516 ,K.T.-Long Execution Time for Kernel Function,,Warp-Improper Kernel Launch Paramters
111215-0,2D n-body simulation optimization,https://forums.developer.nvidia.com/t/2d-n-body-simulation-optimization/111215 ,K.T.-Long Execution Time for Kernel Function,,Warp-Inefficient Loop Unrolling
111215-1,2D n-body simulation optimization,https://forums.developer.nvidia.com/t/2d-n-body-simulation-optimization/111215 ,K.T.-Long Execution Time for Kernel Function,,MemoryImcompatible Memory Type and Access Pattern
111215-2,2D n-body simulation optimization,https://forums.developer.nvidia.com/t/2d-n-body-simulation-optimization/111215 ,K.T.-Long Execution Time for Kernel Function,,Data-Incompatible Data Types
286090,Kernel is slower after using warp shuffles,https://forums.developer.nvidia.com/t/kernel-is-slower-after-using-warp-shuffles/286090 ,K.T.-Long Execution Time for Code Blocks,,Memory-Uncoalesced Memory Accesses
257281,Kernel with very low eligible warps despite fully coalesced memory access,https://forums.developer.nvidia.com/t/kernel-with-very-low-eligible-warps-despite-fully-coalesced-memory-access/257281 ,K.T.-Long Execution Time for Code Blocks,,Data-Incompatible Data Types
266171,Uint64_t result evaluation & storage eats up 25% of kernel performance,https://forums.developer.nvidia.com/t/uint64-t-result-evaluation-storage-eats-up-25-of-kernel-performance/266171 ,K.T.-Long Execution Time for Code Blocks,,Warp-Branch Divergence
153681,CPU faster than CUDA,https://forums.developer.nvidia.com/t/cpu-faster-than-cuda/153681 ,K.T.-Long Execution Time for Kernel Function,,Warp-Imbalanced Thread Workload
212929,How to reduce time cost,https://forums.developer.nvidia.com/t/how-to-reduce-time-cost/212929 ,K.T.-Long Execution Time for Kernel Function,,Memory-Uncoalesced Memory Accesses
247890,Question about CUDA kernels parallel execution,https://forums.developer.nvidia.com/t/question-about-cuda-kernels-parallel-execution/247890 ,K.T.-Long Kernel Launch Time,,Compilation-Unable to Perform Automatic Inlining Optimization
294101,Warp wide reduction operations significant slowdown since CUDA 12.4 for sm_80,https://forums.developer.nvidia.com/t/warp-wide-reduction-operations-significant-slowdown-since-cuda-12-4-for-sm-80/294101 ,K.T.-Long Execution Time for Code Blocks,,CUDA Toolkits-Buggy CUDA Toolkits
239037,Suboptimal SASS from compiler for some simple operations,https://forums.developer.nvidia.com/t/suboptimal-sass-from-compiler-for-some-simple-operations/239037 ,K.T.-Long Execution Time for Code Blocks,,CUDA Toolkits-Buggy CUDA Toolkits
234606,Cluster siliarity calculated with usage of array reduction optimization,https://forums.developer.nvidia.com/t/cluster-siliarity-calculated-with-usage-of-array-reduction-optimization/234606 ,K.T.-Long Execution Time for Kernel Function,,API-Efficient APIs Not Used
217612,Cuda slow performance after process sleep/wait,https://forums.developer.nvidia.com/t/cuda-slow-performance-after-process-sleep-wait/217612 ,K.T.-Long Execution Time for Kernel Function,,Warp-Imbalanced Thread Workload
213450,Find maximum values for each column of 2D array,https://forums.developer.nvidia.com/t/find-maximum-values-for-each-column-of-2d-array/213450 ,K.T.-Long Execution Time for Kernel Function,,Algorithm-Hardware-Unaware Algorithm Implementation
160063-0,Adding a variable inside a buffer from multiple threads,https://forums.developer.nvidia.com/t/adding-a-variable-inside-a-buffer-from-multiple-threads/160063 ,K.T.-Long Execution Time for Code Blocks,,Data-Incompatible Data Types
160063-1,Adding a variable inside a buffer from multiple threads,https://forums.developer.nvidia.com/t/adding-a-variable-inside-a-buffer-from-multiple-threads/160063 ,K.T.-Long Execution Time for Code Blocks,,Compilation-Debugging Mode Used
63831345,Why is the cpu faster than the gpu for small inputs?,https://stackoverflow.com/questions/63831345/why-is-the-cpu-faster-than-the-gpu-for-small-inputs,K.T.-Long Kernel Launch Time,,Warp-Imbalanced Thread Workload
246449,Long delays on CUDA app startup causing Nsight System to fail on startup,https://forums.developer.nvidia.com/t/long-delays-on-cuda-app-startup-causing-nsight-system-to-fail-on-startup/246449 ,K.T.-Long Kernel Launch Time,,CUDA Toolkits-Buggy CUDA Toolkits
193573,Peaks and slow performance with cudaDeviceSynchronize,https://forums.developer.nvidia.com/t/peaks-and-slow-performance-with-cudadevicesynchronize/193573 ,K.T.-Long Kernel Launch Time,,CUDA Toolkits-Buggy CUDA Toolkits
76107401,Can we overlap compute operation with memory operation without pinned memory on CPU?,https://stackoverflow.com/questions/76107401/can-we-overlap-compute-operation-with-memory-operation-without-pinned-memory-on,D.T.-Long CPU-GPU Data Transfer Time,,Data-Inefficient Data Transfer
67304253,How can I copy a part of 4D array from Host memory to Device memory?,https://stackoverflow.com/questions/67304253/how-can-i-copy-a-part-of-4d-array-from-host-memory-to-device-memory,D.T.-Long CPU-GPU Data Transfer Time,,Data-Inefficient Data Transfer
70793455,Julia CUDA - Saving intermediate kernel results without CPU,https://stackoverflow.com/questions/70793455/julia-cuda-saving-intermediate-kernel-results-without-cpu,D.T.-Long CPU-GPU Data Transfer Time,,API-Efficient APIs Not Used
73155788,Efficient Reallocation of CUDA memory,https://stackoverflow.com/questions/73155788/efficient-reallocation-of-cuda-memory,D.T.-Long CPU-GPU Data Transfer Time,,Data-Inefficient Data Transfer
67031050,How to asynchronously copy a disjoint subset of an array from device to host with CUDA/Thrust?,https://stackoverflow.com/questions/67031050/how-to-asynchronously-copy-a-disjoint-subset-of-an-array-from-device-to-host-wit,D.T.-Long CPU-GPU Data Transfer Time,,API-Efficient APIs Not Used
287166,Problem about time of copy data through shared memory,https://forums.developer.nvidia.com/t/problem-about-time-of-copy-data-through-shared-memory/287166 ,D.T.-Long GPU-GPU Data Transfer Time,,Memory-Redundant Memory Accesses
143795,Terrible host<->device bandwidth seen with bandwidthtest,https://forums.developer.nvidia.com/t/terrible-host-device-bandwidth-seen-with-bandwidthtest/143795 ,D.T.-Long CPU-GPU Data Transfer Time,,Others
293978,Why write pinned memory is much slower than load from pinned memory on multiprocessing multi-GPU?,https://forums.developer.nvidia.com/t/why-write-pinned-memory-is-much-slower-than-load-from-pinned-memory-on-multiprocessing-multi-gpu/293978 ,D.T.-Long CPU-GPU Data Transfer Time,,API-Inefficient API Usage
258077,Does the page-lock memory by cudaHostRegister slow than cudaMallocHost?,https://forums.developer.nvidia.com/t/does-the-page-lock-memory-by-cudahostregister-slow-than-cudamallochost/258077 ,D.T.-Long CPU-GPU Data Transfer Time,,API-Inefficient API Usage
271418,The cudamemcpy operation consumes as much as 50% of the time,https://forums.developer.nvidia.com/t/the-cudamemcpy-operation-consumes-as-much-as-50-of-the-time/271418 ,D.T.-Long CPU-GPU Data Transfer Time,,Warp-Imbalanced Thread Workload
170881,Parallelism On Multiple Blocks Seems Broken,https://forums.developer.nvidia.com/t/parallelism-on-multiple-blocks-seems-broken/170881 ,D.T.-Long CPU-GPU Data Transfer Time,,Data-Inefficient Data Transfer
288557,Performance drop after specifying CUDA_VISIBLE_DEVICES=0,https://forums.developer.nvidia.com/t/performance-drop-after-specifying-cuda-visible-devices-0/288557 ,D.T.-Long GPU-GPU Data Transfer Time,,API-Inefficient API Usage
262062-0,cudaMemcpy affect TensorRT stream,https://forums.developer.nvidia.com/t/cudamemcpy-affect-tensorrt-stream/262062 ,D.T.-Long CPU-GPU Data Transfer Time,,Data-Inefficient Data Transfer
262062-1,cudaMemcpy affect TensorRT stream,https://forums.developer.nvidia.com/t/cudamemcpy-affect-tensorrt-stream/262062 ,D.T.-Long CPU-GPU Data Transfer Time,,API-Inefficient API Usage
201960,Unified virtual memory slowdown even without migration,https://forums.developer.nvidia.com/t/unified-virtual-memory-slowdown-even-without-migration/201960 ,D.T.-Long CPU-GPU Data Transfer Time,,API-Inefficient API Usage
274732,Why 2 GPUs is slower than 1 GPU,https://forums.developer.nvidia.com/t/why-2-gpus-is-slower-than-1-gpu/274732 ,D.T.-Long GPU-GPU Data Transfer Time,,Data-Inefficient Data Transfer
147119,Very long latency (2.6s+2.6s) when running CUDA/OpenCL code on Threadripper Linux server,https://forums.developer.nvidia.com/t/very-long-latency-2-6s-2-6s-when-running-cuda-opencl-code-on-threadripper-linux-server/147119 ,D.T.-Long CPU-GPU Data Transfer Time,,CUDA Toolkits-Buggy CUDA Toolkits
239847,"Slow memcpy performance in dual-CPU, 10 GPU system",https://forums.developer.nvidia.com/t/slow-memcpy-performance-in-dual-cpu-10-gpu-system/239847 ,D.T.-Long CPU-GPU Data Transfer Time,,Data-Inefficient Data Transfer
253160,Copy image tiles to const memory with cudaMemcpyToSymbol,https://forums.developer.nvidia.com/t/copy-image-tiles-to-const-memory-with-cudamemcpytosymbol/253160 ,D.T.-Long CPU-GPU Data Transfer Time,,API-Inefficient API Usage
146493,GTX980ti faster than RTX 2080ti?,https://forums.developer.nvidia.com/t/gtx980ti-faster-than-rtx-2080ti/146493 ,D.T.-Long CPU-GPU Data Transfer Time,,Others
249984,Inconsistent concurrent transfer speed,https://forums.developer.nvidia.com/t/inconsistent-concurrent-transfer-speed/249984 ,D.T.-Long GPU-GPU Data Transfer Time,,Data-Inefficient Data Transfer
159506,Simple tab construction with CUDA runs even slower than the non-parallel cpu version,https://forums.developer.nvidia.com/t/simple-tab-construction-with-cuda-runs-even-slower-than-the-non-parallel-cpu-version/159506 ,K.T.-Long Execution Time for Kernel Function,,Warp-Improper Kernel Launch Paramters
